timestamp_ns,gyro_x_rad_s,gyro_y_rad_s,gyro_z_rad_s,linacc_x_m_s2,linacc_y_m_s2,linacc_z_m_s2
2448481063000,-2.220703125,-4.00390625,0.6640625,-10.57421875,-15.515625,-1.17578125
2448483632000,-2.01171875,-4.099609375,0.921875,-10.0859375,-15.66796875,0.171875
2448488842000,-1.6640625,-4.255859375,1.453125,-9.234375,-15.5625,1.30078125
2448495995000,-1.369140625,-4.43359375,2.3828125,-8.17578125,-15.39453125,2.125
2448503618000,-1.2265625,-4.591796875,3.376953125,-5.19140625,-13.75390625,4.41796875
2448506029000,-1.185546875,-4.650390625,3.697265625,-4.12890625,-12.9765625,5.25390625
2448508777000,-1.185546875,-4.72265625,4.021484375,-4.08203125,-13.078125,5.14453125
2448511138000,-1.189453125,-4.8046875,4.353515625,-2.83984375,-12.13671875,5.67578125
2448515962000,-1.181640625,-4.9296875,4.953125,-2.74609375,-12.36328125,5.45703125
2448518951000,-1.169921875,-4.966796875,5.208984375,-1.3125,-11.375,6.15234375
2448521078000,-1.126953125,-5.0,5.455078125,-0.1875,-10.15234375,6.6640625
2448523517000,-1.072265625,-5.033203125,5.65625,1.30859375,-8.88671875,7.33984375
2448530936000,-0.837890625,-4.9296875,6.107421875,3.01953125,-8.03515625,7.65625
2448535864000,-0.544921875,-4.869140625,6.27734375,4.55859375,-4.93359375,7.8359375
2448546018000,0.59765625,-5.0546875,6.16796875,8.3203125,-0.765625,6.6875
2448550857000,1.263671875,-5.0625,5.904296875,8.328125,-1.0390625,6.453125
2448553431000,1.611328125,-5.076171875,5.701171875,9.421875,0.37890625,6.8046875
2448555874000,1.939453125,-5.052734375,5.44921875,10.33203125,1.94140625,6.90625
2448558343000,2.2578125,-4.93359375,5.158203125,10.32421875,1.81640625,6.7890625
2448560941000,2.544921875,-4.8125,4.802734375,11.58203125,5.87109375,8.09765625
2448565882000,3.025390625,-4.337890625,3.916015625,12.421875,7.66796875,8.7421875
2448573514000,3.365234375,-3.283203125,2.015625,12.5703125,10.45703125,10.078125
2448582343000,3.44921875,-2.349609375,-0.2890625,12.9375,11.1953125,9.55859375
2448585832000,3.537109375,-1.73046875,-1.857421875,12.953125,11.2421875,9.50390625
2448588738000,3.62109375,-1.404296875,-2.59765625,13.36328125,10.85546875,8.875
2448590855000,3.73828125,-1.091796875,-3.30078125,13.78125,10.23828125,8.31640625
2448593303000,3.869140625,-0.751953125,-3.951171875,13.796875,10.32421875,8.31640625
2448595849000,4.015625,-0.431640625,-4.564453125,14.37109375,9.6640625,7.65234375
2448598343000,4.1640625,-0.083984375,-5.09375,15.0078125,8.87890625,6.85546875
2448600669000,4.318359375,0.255859375,-5.568359375,15.2890625,8.05078125,6.00390625
2448603349000,4.43359375,0.58203125,-6.001953125,15.3125,8.19140625,6.03515625
2448605849000,4.515625,0.880859375,-6.376953125,15.13671875,7.2734375,5.234375
2448608290000,4.57421875,1.166015625,-6.703125,14.55859375,6.24609375,4.4296875
2448613346000,4.5703125,1.66796875,-7.23046875,14.57421875,6.58984375,4.515625
2448616210000,4.52734375,1.935546875,-7.419921875,14.03515625,5.7109375,3.73046875
2448618273000,4.470703125,2.181640625,-7.5859375,13.09375,4.82421875,2.75390625
2448620819000,4.390625,2.4140625,-7.73046875,12.08984375,3.9296875,1.4375
2448623239000,4.349609375,2.654296875,-7.8515625,11.19921875,2.96875,-0.34765625
2448628173000,4.294921875,3.19921875,-8.013671875,10.28515625,2.30859375,-2.12109375
2448636900000,4.12109375,4.048828125,-8.046875,7.69140625,1.5703125,-5.140625
2448644790000,3.576171875,4.751953125,-7.76171875,5.19921875,1.296875,-7.69140625
2448648132000,2.94921875,5.119140625,-7.384765625,4.3203125,1.08203125,-9.05859375
2448650795000,2.5546875,5.27734375,-7.166015625,3.68359375,0.33203125,-10.375
2448653334000,2.115234375,5.376953125,-6.875,3.62109375,0.50390625,-10.265625
2448655648000,1.646484375,5.447265625,-6.611328125,2.9140625,-0.3828125,-11.5546875
2448658166000,1.189453125,5.455078125,-6.26953125,2.01953125,-1.26171875,-13.09375
2448663071000,0.30078125,5.3828125,-5.564453125,1.89453125,-0.98828125,-12.859375
2448668173000,-0.47265625,5.27734375,-4.775390625,-0.56640625,-2.6953125,-16.234375
2448675518000,-1.61328125,4.9375,-3.5234375,-2.0390625,-3.56640625,-17.42578125
2448682999000,-2.896484375,4.34375,-2.298828125,-5.62890625,-6.23046875,-18.7421875
2448685639000,-3.3203125,4.126953125,-1.900390625,-6.69140625,-7.01171875,-18.63671875
2448690466000,-4.146484375,3.591796875,-1.166015625,-6.77734375,-6.99609375,-18.41015625
2448693198000,-4.521484375,3.26953125,-0.8203125,-7.765625,-7.87109375,-17.87109375
2448695472000,-4.87890625,2.890625,-0.46484375,-8.4375,-8.57421875,-17.15625
2448698203000,-5.203125,2.47265625,-0.119140625,-8.4609375,-8.60546875,-17.046875
2448700753000,-5.501953125,2.025390625,0.244140625,-8.859375,-9.1015625,-16.04296875
2448703090000,-5.77734375,1.513671875,0.61328125,-9.07421875,-9.13671875,-14.7109375
2448710564000,-6.373046875,0.046875,1.748046875,-9.0,-9.08203125,-13.20703125
2448718070000,-6.611328125,-1.28125,2.705078125,-8.296875,-9.1328125,-10.12890625
2448725727000,-6.5625,-2.455078125,3.40234375,-6.9453125,-9.1875,-5.1015625
2448730530000,-6.380859375,-3.037109375,3.748046875,-6.8515625,-9.4609375,-5.140625
2448733125000,-6.2734375,-3.263671875,3.880859375,-6.2890625,-9.45703125,-3.5625
2448735530000,-6.1484375,-3.462890625,3.98828125,-5.83203125,-9.50390625,-2.1015625
2448738029000,-5.994140625,-3.640625,4.091796875,-5.77734375,-9.65234375,-2.15625
2448740443000,-5.83984375,-3.798828125,4.169921875,-5.28125,-9.36328125,0.48828125
2448745536000,-5.486328125,-4.09765625,4.302734375,-4.91796875,-9.5625,1.54296875
2448753089000,-4.7890625,-4.48828125,4.4375,-4.0234375,-9.65234375,3.3046875
2448762021000,-3.904296875,-4.8359375,4.556640625,-2.80078125,-9.703125,5.08984375
2448765484000,-3.255859375,-5.005859375,4.638671875,-2.72265625,-9.96875,4.86328125
2448767770000,-2.94140625,-5.07421875,4.6953125,-1.984375,-9.84765625,5.6640625
2448770518000,-2.619140625,-5.12109375,4.708984375,-1.24609375,-9.48046875,6.48828125
2448773009000,-2.27734375,-5.150390625,4.74609375,-1.21484375,-9.60546875,6.37109375
2448775390000,-1.9453125,-5.1484375,4.767578125,-0.484375,-8.96875,7.08203125
2448777960000,-1.607421875,-5.13671875,4.75390625,0.1796875,-8.171875,7.54296875
2448780420000,-1.26171875,-5.095703125,4.755859375,1.1328125,-7.296875,8.0390625
2448782773000,-0.9375,-5.03125,4.716796875,2.0859375,-6.578125,8.26953125
2448787880000,-0.294921875,-4.7734375,4.623046875,3.0,-5.83203125,8.25
2448795362000,0.546875,-4.126953125,4.3671875,4.765625,-3.6875,8.1484375
2448804673000,1.134765625,-3.298828125,4.001953125,5.265625,-1.48828125,7.81640625
2448807655000,1.3984375,-2.775390625,3.65625,5.2578125,-1.66015625,7.69140625
2448810381000,1.490234375,-2.541015625,3.45703125,5.15234375,-0.83203125,7.42578125
2448812786000,1.5703125,-2.330078125,3.24609375,5.109375,-0.23046875,7.32421875
2448815193000,1.642578125,-2.140625,3.005859375,5.1015625,-0.30078125,7.28515625
2448817902000,1.6796875,-1.984375,2.751953125,5.140625,0.0703125,7.171875
