timestamp_ns,type,seq,exposure_us,iso,path
7142705425000,rgb,2993,1000,400,rgb/rgb_7142705425000_2993.png
7142738747000,rgb,2994,1000,400,rgb/rgb_7142738747000_2994.png
7142772069000,rgb,2995,1000,400,rgb/rgb_7142772069000_2995.png
7142805391000,rgb,2996,1000,400,rgb/rgb_7142805391000_2996.png
7142838713000,rgb,2997,1000,400,rgb/rgb_7142838713000_2997.png
7142872035000,rgb,2998,1000,400,rgb/rgb_7142872035000_2998.png
7142905357000,rgb,2999,1000,400,rgb/rgb_7142905357000_2999.png
7142938678000,rgb,3000,1000,400,rgb/rgb_7142938678000_3000.png
7142972000000,rgb,3001,1000,400,rgb/rgb_7142972000000_3001.png
7143005322000,rgb,3002,1000,400,rgb/rgb_7143005322000_3002.png
7143038644000,rgb,3003,1000,400,rgb/rgb_7143038644000_3003.png
7143071966000,rgb,3004,1000,400,rgb/rgb_7143071966000_3004.png
7143105288000,rgb,3005,1000,400,rgb/rgb_7143105288000_3005.png
7143138610000,rgb,3006,1000,400,rgb/rgb_7143138610000_3006.png
7143171931000,rgb,3007,1000,400,rgb/rgb_7143171931000_3007.png
7143205253000,rgb,3008,1000,400,rgb/rgb_7143205253000_3008.png
7143238576000,rgb,3009,1000,400,rgb/rgb_7143238576000_3009.png
7143271897000,rgb,3010,1000,400,rgb/rgb_7143271897000_3010.png
7143305219000,rgb,3011,1000,400,rgb/rgb_7143305219000_3011.png
7143338541000,rgb,3012,1000,400,rgb/rgb_7143338541000_3012.png
7143371863000,rgb,3013,1000,400,rgb/rgb_7143371863000_3013.png
7143405185000,rgb,3014,1000,400,rgb/rgb_7143405185000_3014.png
7143438507000,rgb,3015,1000,400,rgb/rgb_7143438507000_3015.png
7143471828000,rgb,3016,1000,400,rgb/rgb_7143471828000_3016.png
7143505150000,rgb,3017,1000,400,rgb/rgb_7143505150000_3017.png
7143538472000,rgb,3018,1000,400,rgb/rgb_7143538472000_3018.png
7143571795000,rgb,3019,1000,400,rgb/rgb_7143571795000_3019.png
7143605116000,rgb,3020,1000,400,rgb/rgb_7143605116000_3020.png
7143638438000,rgb,3021,1000,400,rgb/rgb_7143638438000_3021.png
7143671760000,rgb,3022,1000,400,rgb/rgb_7143671760000_3022.png
7143705082000,rgb,3023,1000,400,rgb/rgb_7143705082000_3023.png
7143738404000,rgb,3024,1000,400,rgb/rgb_7143738404000_3024.png
7143771725000,rgb,3025,1000,400,rgb/rgb_7143771725000_3025.png
7143805047000,rgb,3026,1000,400,rgb/rgb_7143805047000_3026.png
7143838369000,rgb,3027,1000,400,rgb/rgb_7143838369000_3027.png
7143871691000,rgb,3028,1000,400,rgb/rgb_7143871691000_3028.png
7143905013000,rgb,3029,1000,400,rgb/rgb_7143905013000_3029.png
7143938335000,rgb,3030,1000,400,rgb/rgb_7143938335000_3030.png
7143971657000,rgb,3031,1000,400,rgb/rgb_7143971657000_3031.png
7144004979000,rgb,3032,1000,400,rgb/rgb_7144004979000_3032.png
7144038301000,rgb,3033,1000,400,rgb/rgb_7144038301000_3033.png
7144071622000,rgb,3034,1000,400,rgb/rgb_7144071622000_3034.png
7144104944000,rgb,3035,1000,400,rgb/rgb_7144104944000_3035.png
7144138266000,rgb,3036,1000,400,rgb/rgb_7144138266000_3036.png
7144171588000,rgb,3037,1000,400,rgb/rgb_7144171588000_3037.png
7144204910000,rgb,3038,1000,400,rgb/rgb_7144204910000_3038.png
7144238232000,rgb,3039,1000,400,rgb/rgb_7144238232000_3039.png
7144271554000,rgb,3040,1000,400,rgb/rgb_7144271554000_3040.png
7144304876000,rgb,3041,1000,400,rgb/rgb_7144304876000_3041.png
7144338198000,rgb,3042,1000,400,rgb/rgb_7144338198000_3042.png
7144371519000,rgb,3043,1000,400,rgb/rgb_7144371519000_3043.png
7144404841000,rgb,3044,1000,400,rgb/rgb_7144404841000_3044.png
7144438163000,rgb,3045,1000,400,rgb/rgb_7144438163000_3045.png
7144471485000,rgb,3046,1000,400,rgb/rgb_7144471485000_3046.png
7144504807000,rgb,3047,1000,400,rgb/rgb_7144504807000_3047.png
7144538129000,rgb,3048,1000,400,rgb/rgb_7144538129000_3048.png
7144571451000,rgb,3049,1000,400,rgb/rgb_7144571451000_3049.png
7144604773000,rgb,3050,1000,400,rgb/rgb_7144604773000_3050.png
7144638095000,rgb,3051,1000,400,rgb/rgb_7144638095000_3051.png
7144671416000,rgb,3052,1000,400,rgb/rgb_7144671416000_3052.png
7144704738000,rgb,3053,1000,400,rgb/rgb_7144704738000_3053.png
7144738060000,rgb,3054,1000,400,rgb/rgb_7144738060000_3054.png
7144771382000,rgb,3055,1000,400,rgb/rgb_7144771382000_3055.png
7144804704000,rgb,3056,1000,400,rgb/rgb_7144804704000_3056.png
7144838026000,rgb,3057,1000,400,rgb/rgb_7144838026000_3057.png
7144871348000,rgb,3058,1000,400,rgb/rgb_7144871348000_3058.png
7144904670000,rgb,3059,1000,400,rgb/rgb_7144904670000_3059.png
7144937992000,rgb,3060,1000,400,rgb/rgb_7144937992000_3060.png
7144971314000,rgb,3061,1000,400,rgb/rgb_7144971314000_3061.png
7145004635000,rgb,3062,1000,400,rgb/rgb_7145004635000_3062.png
7145037957000,rgb,3063,1000,400,rgb/rgb_7145037957000_3063.png
7145071279000,rgb,3064,1000,400,rgb/rgb_7145071279000_3064.png
7145104601000,rgb,3065,1000,400,rgb/rgb_7145104601000_3065.png
7145137923000,rgb,3066,1000,400,rgb/rgb_7145137923000_3066.png
7145171245000,rgb,3067,1000,400,rgb/rgb_7145171245000_3067.png
7145204566000,rgb,3068,1000,400,rgb/rgb_7145204566000_3068.png
7145237889000,rgb,3069,1000,400,rgb/rgb_7145237889000_3069.png
7145271210000,rgb,3070,1000,400,rgb/rgb_7145271210000_3070.png
7145304532000,rgb,3071,1000,400,rgb/rgb_7145304532000_3071.png
7145337854000,rgb,3072,1000,400,rgb/rgb_7145337854000_3072.png
7145371176000,rgb,3073,1000,400,rgb/rgb_7145371176000_3073.png
7145404498000,rgb,3074,1000,400,rgb/rgb_7145404498000_3074.png
7145437820000,rgb,3075,1000,400,rgb/rgb_7145437820000_3075.png
7145471142000,rgb,3076,1000,400,rgb/rgb_7145471142000_3076.png
7145504463000,rgb,3077,1000,400,rgb/rgb_7145504463000_3077.png
7145537786000,rgb,3078,1000,400,rgb/rgb_7145537786000_3078.png
7145571108000,rgb,3079,1000,400,rgb/rgb_7145571108000_3079.png
7145604429000,rgb,3080,1000,400,rgb/rgb_7145604429000_3080.png
7145637751000,rgb,3081,1000,400,rgb/rgb_7145637751000_3081.png
7145671073000,rgb,3082,1000,400,rgb/rgb_7145671073000_3082.png
7145704395000,rgb,3083,1000,400,rgb/rgb_7145704395000_3083.png
7145737717000,rgb,3084,1000,400,rgb/rgb_7145737717000_3084.png
7145771039000,rgb,3085,1000,400,rgb/rgb_7145771039000_3085.png
7145804360000,rgb,3086,1000,400,rgb/rgb_7145804360000_3086.png
7145837682000,rgb,3087,1000,400,rgb/rgb_7145837682000_3087.png
7145871004000,rgb,3088,1000,400,rgb/rgb_7145871004000_3088.png
7145904327000,rgb,3089,1000,400,rgb/rgb_7145904327000_3089.png
7145937648000,rgb,3090,1000,400,rgb/rgb_7145937648000_3090.png
